iter	Passed	Remaining
939	10383	662
940	10394	651
941	10405	640
942	10416	629
943	10427	618
944	10438	607
945	10449	596
946	10460	585
947	10471	574
948	10481	563
949	10493	552
950	10504	541
951	10515	530
952	10527	519
953	10538	508
954	10550	497
955	10561	486
956	10573	475
957	10584	464
958	10596	453
959	10607	441
960	10617	430
961	10628	419
962	10640	408
963	10650	397
964	10662	386
965	10674	375
966	10686	364
967	10697	353
968	10709	342
969	10720	331
970	10731	320
971	10742	309
972	10753	298
973	10765	287
974	10775	276
975	10787	265
976	10798	254
977	10809	243
978	10821	232
979	10832	221
980	10844	210
981	10854	198
982	10865	187
983	10876	176
984	10888	165
985	10900	154
986	10910	143
987	10921	132
988	10932	121
989	10943	110
990	10955	99
991	10966	88
992	10977	77
993	10989	66
994	11000	55
995	11010	44
996	11022	33
997	11033	22
998	11044	11
999	11055	0
